https://t.bilibili.com/431412443935685906  2020-09-27 18:00:00  1st: swichlite , 2nd:  , 3rd:  
https://t.bilibili.com/431412443935685906  2020-09-27 18:00:00  1st: 嘉哥自组1500元闷包（2鞋2衣2配件） , 2nd: 嘉哥自组1200元闷包（2鞋1衣1配件） , 3rd: 嘉哥自组800元闷包（1鞋1衣1配件） 
https://t.bilibili.com/437027946168600278  2020-09-27 18:00:00  1st: 微星GK50Z机械键盘 , 2nd: 微星DS102RGB电竞鼠标 , 3rd: 微星GH10电竞游戏耳机 
https://t.bilibili.com/438087162412730075  2020-09-27 18:00:00  1st: 小电视抱枕 , 2nd:  , 3rd:  
https://t.bilibili.com/438478463997510396  2020-09-27 18:00:00  1st: 傲风宝可梦电竞椅（款式自选） , 2nd:  , 3rd:  
https://t.bilibili.com/437446134249820553  2020-09-27 18:18:00  1st: 格裙一件 , 2nd:  , 3rd:  
https://t.bilibili.com/437446134249820553  2020-09-27 18:18:00  1st: 原创格裙 , 2nd:  , 3rd:  
https://t.bilibili.com/437063783374846379  2020-09-27 19:00:00  1st: 制服裙 , 2nd:  , 3rd:  
https://t.bilibili.com/434865885403789756  2020-09-27 20:00:00  1st: 鼠年小电视抱枕 , 2nd:  , 3rd:  
https://t.bilibili.com/434862200322877862  2020-09-27 20:00:00  1st: 小电视鼠年毛绒抱枕 , 2nd:  , 3rd:  
https://t.bilibili.com/438958061520318229  2020-09-27 20:00:00  1st: 《我的我的家乡》电影票 , 2nd:  , 3rd:  
https://t.bilibili.com/439183654677211514  2020-09-27 20:06:00  1st: 云视听小电视月度大会员 , 2nd:  , 3rd:  
https://t.bilibili.com/439312705563449007  2020-09-27 21:30:00  1st: 来自夜叉的中秋月饼 , 2nd:  , 3rd:  
https://t.bilibili.com/435569216357246912  2020-09-27 23:59:00  1st: 配图中一等奖三选一 , 2nd: 配图中二等奖三选一 , 3rd: 配图中三等奖三选一 
https://t.bilibili.com/435147338904397479  2020-09-27 23:59:00  1st: 余烬风暴充电宝 , 2nd: B站年会大会员 , 3rd:  
https://t.bilibili.com/439379457942345172  2020-09-28 00:55:00  1st: 傲风电竞椅 , 2nd:  , 3rd:  
https://t.bilibili.com/428605867485620775  2020-09-28 01:00:00  1st: PS4 1台 , 2nd: 《原神》角色立牌 1套 , 3rd:  
https://t.bilibili.com/428605867485620775  2020-09-28 01:00:00  1st: 初音未来13周年纪念专属个性装扮 , 2nd:  , 3rd:  
https://t.bilibili.com/428605867485620775  2020-09-28 01:00:00  1st: 400g火锅底料一份 , 2nd:  , 3rd:  
https://t.bilibili.com/431864656743711442  2020-09-28 02:00:00  1st: 400w粉+中秋福利 , 2nd:  , 3rd:  
https://t.bilibili.com/431864656743711442  2020-09-28 02:00:00  1st: 安踏c37+一双（颜色随机） , 2nd:  , 3rd:  
https://t.bilibili.com/431864656743711442  2020-09-28 02:00:00  1st: 罗技G703无线游戏鼠标 , 2nd:  , 3rd:  
https://t.bilibili.com/435174478801798863  2020-09-28 03:55:00  1st: 648元 , 2nd: 30元月卡 , 3rd:  
https://t.bilibili.com/437421816140622721  2020-09-28 06:19:00  1st: 傲风宝可梦联名x1 , 2nd:  , 3rd:  
https://t.bilibili.com/428579376127088677  2020-09-28 09:30:00  1st: 2233夏色记忆鼠标垫 , 2nd: 初音景品 , 3rd: 雷姆景品 
https://t.bilibili.com/439257717093702722  2020-09-28 09:30:00  1st: 灵笼中秋礼盒 , 2nd:  , 3rd:  
https://t.bilibili.com/437453195173999057  2020-09-28 10:00:00  1st: 哔哩哔哩2020年中秋月饼大礼包 , 2nd:  , 3rd:  
https://t.bilibili.com/438036129607910906  2020-09-28 10:00:00  1st: 从零开始的异世界生活原作画集 , 2nd: 从零开始的异世界生活福袋 , 3rd:  
https://t.bilibili.com/438897047217635696  2020-09-28 10:00:00  1st: 小电视兔子包 , 2nd:  , 3rd:  
https://t.bilibili.com/433234837213491249  2020-09-28 12:00:00  1st: b站大会员（一个月）+契约测试资格 , 2nd:  , 3rd:  
https://t.bilibili.com/433234837213491249  2020-09-28 12:00:00  1st: 上下各选一 , 2nd:  , 3rd:  
https://t.bilibili.com/431187890161031150  2020-09-28 12:00:00  1st: 夏日泳装明信片套组 , 2nd:  , 3rd:  
https://t.bilibili.com/433234837213491249  2020-09-28 12:00:00  1st: 阴阳师盒蛋展示箱 , 2nd: 阴阳师盒蛋特典场景 , 3rd:  
https://t.bilibili.com/433234837213491249  2020-09-28 12:00:00  1st: AirPods Pro , 2nd: 小电视PU包 , 3rd: 小电视抱枕 
https://t.bilibili.com/435477158028856563  2020-09-28 12:00:00  1st: 原神抱枕一个（随机款） , 2nd: 原神立牌一个（随机款） , 3rd: 129.6现金红包 
https://t.bilibili.com/437369713894216037  2020-09-28 12:00:00  1st: 冯宝宝冬日暖薯手办 , 2nd: 一人之下官方精美周边 , 3rd:  
https://t.bilibili.com/437672938588456166  2020-09-28 12:00:00  1st: 全套游园时装（四人） , 2nd: B站年度大会员 , 3rd: 游园时装（任选一件） 
https://t.bilibili.com/438854003056233798  2020-09-28 12:00:00  1st: 长沙南门口剁椒 , 2nd:  , 3rd:  
https://t.bilibili.com/433234837213491249  2020-09-28 12:00:00  1st: 限量定制11周年纪念徽章 , 2nd:  , 3rd:  
https://t.bilibili.com/438916232834597409  2020-09-28 12:00:00  1st: 凤凰网定制月饼礼盒 , 2nd:  , 3rd:  
https://t.bilibili.com/438812114238943813  2020-09-28 12:00:00  1st: 京东卡50r , 2nd:  , 3rd:  
https://t.bilibili.com/438140755012777386  2020-09-28 12:00:00  1st: Insta 360 One R 4K版 , 2nd:  , 3rd:  
https://t.bilibili.com/438464294904536887  2020-09-28 12:00:00  1st: 迷之女主角X , 2nd: 真壁瑞希 , 3rd:  
https://t.bilibili.com/439214505428550379  2020-09-28 12:00:00  1st: 暖暖的奶茶1杯 , 2nd:  , 3rd:  
https://t.bilibili.com/438814407753587622  2020-09-28 12:22:00  1st: 电影票2张 , 2nd:  , 3rd:  
https://t.bilibili.com/431099280689102491  2020-09-28 12:30:00  1st: 小米10 全网通版 冰海蓝 , 2nd:  , 3rd:  
https://t.bilibili.com/431099280689102491  2020-09-28 12:30:00  1st: 100元购书金 , 2nd:  , 3rd:  
https://t.bilibili.com/438878003328339097  2020-09-28 12:55:00  1st: iphone11pro手机一部 , 2nd: 100元现金红包（20人共2000元） , 3rd:  
https://t.bilibili.com/437479785314583796  2020-09-28 13:00:00  1st: 爱蜜莉雅 披风 , 2nd: 魔卡少女樱 红色手账礼盒 豪华版 , 3rd: 文豪野犬 太宰治 火漆印章蜡粒礼盒套装 
https://t.bilibili.com/438793061765005769  2020-09-28 14:00:00  1st: 第十六届中国国际动漫节门票 , 2nd:  , 3rd:  
https://t.bilibili.com/431888652729280830  2020-09-28 15:00:00  1st: 1000购物基金 , 2nd: 99期间croxx免单 , 3rd: 护肤礼盒 
https://t.bilibili.com/431888652729280830  2020-09-28 15:00:00  1st: 化妆刷一支 , 2nd: 化妆刷一支 , 3rd: 化妆刷一支 
https://t.bilibili.com/434792969743645077  2020-09-28 15:00:00  1st: 酒不醉人 , 2nd:  , 3rd:  
https://t.bilibili.com/431888652729280830  2020-09-28 15:00:00  1st: 宙斯美容仪 , 2nd: 99期间croxx免单 , 3rd: 彩妆礼盒 
https://t.bilibili.com/438138783628023369  2020-09-28 15:00:00  1st: MC HotDog热狗签名周边 , 2nd:  , 3rd:  
https://t.bilibili.com/431888652729280830  2020-09-28 15:00:00  1st: 欧莱雅吸油棒粉底液 , 2nd:  , 3rd:  
https://t.bilibili.com/439054311735681086  2020-09-28 18:00:00  1st: 守望先锋联赛工装外套 , 2nd: 守望先锋联赛竞技款鼠标垫 , 3rd:  
https://t.bilibili.com/427041743481815048  2020-09-28 19:00:00  1st: 「朝陇山小号毛绒玩偶-大帝ver」1只 , 2nd:  , 3rd:  
https://t.bilibili.com/437835172386771049  2020-09-28 19:30:00  1st: 5人平分1000元现金 , 2nd:  , 3rd:  
https://t.bilibili.com/439561573142819379  2020-09-28 19:45:00  1st: 小动物大逃杀周一套 , 2nd:  , 3rd:  
https://t.bilibili.com/434817773174613185  2020-09-28 20:00:00  1st: 哔哩哔哩行李牌（33款） , 2nd: 小电视鼠新年毛绒挂件 , 3rd: 哔哩哔哩学业成就祈愿御守（33款） 
https://t.bilibili.com/434817773174613185  2020-09-28 20:00:00  1st: 崩坏学园2限定周边 , 2nd:  , 3rd:  
https://t.bilibili.com/439553369760493388  2020-09-28 20:00:00  1st: 云视听小电视月度大会员 , 2nd:  , 3rd:  
https://t.bilibili.com/439308131420109725  2020-09-28 20:00:00  1st: 3种口味月饼*1 , 2nd: 香辣牛肉月饼*2 , 3rd:  
https://t.bilibili.com/438919625861931617  2020-09-28 20:00:00  1st: 限量版大礼包，牛奶+图书 , 2nd:  , 3rd:  
https://t.bilibili.com/438829461608805636  2020-09-28 23:00:00  1st: 一单源石（价值648元） , 2nd: 168元明日方舟大月卡 , 3rd: 初音未来泳装手办 
https://t.bilibili.com/436992972248680913  2020-09-28 23:59:00  1st: 鹅影枫手办 , 2nd: 《忘忧酒馆》鼠标垫 , 3rd: B服《忘忧酒馆》全套时装、小姐姐语音包 
https://t.bilibili.com/439530383092300198  2020-09-29 03:11:00  1st: 真影测试激活码 , 2nd:  , 3rd:  
https://t.bilibili.com/438454944754396525  2020-09-29 09:00:00  1st: 选手签名照 , 2nd:  , 3rd:  
https://t.bilibili.com/438453076447807967  2020-09-29 09:00:00  1st: 50元电影票通兑券 , 2nd:  , 3rd:  
https://t.bilibili.com/437805073255758664  2020-09-29 10:00:00  1st: Switch游戏机1台 , 2nd: 年度大会员1份 , 3rd: 菲洛抱枕1只 
https://t.bilibili.com/438809313916061919  2020-09-29 10:50:00  1st: 电影票通兑卷 , 2nd: 体验中奖的快感 , 3rd:  
https://t.bilibili.com/436596679914631693  2020-09-29 12:00:00  1st: ccs红莲螺岩 , 2nd:  , 3rd:  
